Date,Price
9/15/2021,149.03
9/16/2021,148.79
9/17/2021,146.06
9/20/2021,142.94
9/21/2021,143.43
9/22/2021,145.85
9/23/2021,146.83
9/24/2021,146.92
9/27/2021,145.37
9/28/2021,141.91
9/29/2021,142.83
9/30/2021,141.5
10/1/2021,142.65
10/4/2021,139.14
10/5/2021,141.11
10/6/2021,142
10/7/2021,143.29
10/8/2021,142.9
10/11/2021,142.81
10/12/2021,141.51
10/13/2021,140.91
10/14/2021,143.76
10/15/2021,144.84
10/18/2021,146.55
10/19/2021,148.76
10/20/2021,149.26
10/21/2021,149.48
10/22/2021,148.69
10/25/2021,148.64
10/26/2021,149.32
10/27/2021,148.85
10/28/2021,152.57
10/29/2021,149.8
11/1/2021,148.96
11/2/2021,150.02
11/3/2021,151.49
11/4/2021,150.96
11/5/2021,151.28
11/8/2021,150.44
11/9/2021,150.81
11/10/2021,147.92
11/11/2021,147.87
11/12/2021,149.99
11/15/2021,150
11/16/2021,151
11/17/2021,153.49
11/18/2021,157.87
11/19/2021,160.55
11/22/2021,161.02
11/23/2021,161.41
11/24/2021,161.94
11/26/2021,156.81
11/29/2021,160.24
11/30/2021,165.3
12/1/2021,164.77
12/2/2021,163.76
12/3/2021,161.84
12/6/2021,165.32
12/7/2021,171.18
12/8/2021,175.08
12/9/2021,174.56
12/10/2021,179.45
12/13/2021,175.74
12/14/2021,174.33
12/15/2021,179.3
12/16/2021,172.26
12/17/2021,171.14
12/20/2021,169.75
12/21/2021,172.99
12/22/2021,175.64
12/23/2021,176.28
12/27/2021,180.33
12/28/2021,179.29
12/29/2021,179.38
12/30/2021,178.2
12/31/2021,177.57
1/3/2022,182.01
1/4/2022,179.7
1/5/2022,174.92
1/6/2022,172
1/7/2022,172.17
1/10/2022,172.19
1/11/2022,175.08
1/12/2022,175.53
1/13/2022,172.19
1/14/2022,173.07
1/18/2022,169.8
1/19/2022,166.23
1/20/2022,164.51
1/21/2022,162.41
1/24/2022,161.62
1/25/2022,159.78
1/26/2022,159.69
1/27/2022,159.22
1/28/2022,170.33
1/31/2022,174.78
2/1/2022,174.61
2/2/2022,175.84
2/3/2022,172.9
2/4/2022,172.39
2/7/2022,171.66
2/8/2022,174.83
2/9/2022,176.28
2/10/2022,172.12
2/11/2022,168.64
2/14/2022,168.88
2/15/2022,172.79
2/16/2022,172.55
2/17/2022,168.88
2/18/2022,167.3
2/22/2022,164.32
2/23/2022,160.07
2/24/2022,162.74
2/25/2022,164.85
2/28/2022,165.12
3/1/2022,163.2
3/2/2022,166.56
3/3/2022,166.23
3/4/2022,163.17
3/7/2022,159.3
3/8/2022,157.44
3/9/2022,162.95
3/10/2022,158.52
3/11/2022,154.73
3/14/2022,150.62
3/15/2022,155.09
3/16/2022,159.59
3/17/2022,160.62
3/18/2022,163.98
3/21/2022,165.38
3/22/2022,168.82
3/23/2022,170.21
3/24/2022,174.07
3/25/2022,174.72
3/28/2022,175.6
3/29/2022,178.96
3/30/2022,177.77
3/31/2022,174.61
4/1/2022,174.31
4/4/2022,178.44
4/5/2022,175.06
4/6/2022,171.83
4/7/2022,172.14
4/8/2022,170.09
4/11/2022,165.75
4/12/2022,167.66
4/13/2022,170.4
4/14/2022,165.29
4/18/2022,165.07
4/19/2022,167.4
4/20/2022,167.23
4/21/2022,166.42
4/22/2022,161.79
4/25/2022,162.88
4/26/2022,156.8
4/27/2022,156.57
4/28/2022,163.64
4/29/2022,157.65
5/2/2022,157.96
5/3/2022,159.48
5/4/2022,166.02
5/5/2022,156.77
5/6/2022,157.28
5/9/2022,152.06
5/10/2022,154.51
5/11/2022,146.5
5/12/2022,142.56
5/13/2022,147.11
5/16/2022,145.54
5/17/2022,149.24
5/18/2022,140.82
5/19/2022,137.35
5/20/2022,137.59
5/23/2022,143.11
5/24/2022,140.36
5/25/2022,140.52
5/26/2022,143.78
5/27/2022,149.64
5/31/2022,148.84
6/1/2022,148.71
6/2/2022,151.21
6/3/2022,145.38
6/6/2022,146.14
6/7/2022,148.71
6/8/2022,147.96
6/9/2022,142.64
6/10/2022,137.13
6/13/2022,131.88
6/14/2022,132.76
6/15/2022,135.43
6/16/2022,130.06
6/17/2022,131.56
6/21/2022,135.87
6/22/2022,135.35
6/23/2022,138.27
6/24/2022,141.66
6/27/2022,141.66
6/28/2022,137.44
6/29/2022,139.23
6/30/2022,136.72
7/1/2022,138.93
7/5/2022,141.56
7/6/2022,142.92
7/7/2022,146.35
7/8/2022,147.04
7/11/2022,144.87
7/12/2022,145.86
7/13/2022,145.49
7/14/2022,148.47
7/15/2022,150.17
7/18/2022,147.07
7/19/2022,151
7/20/2022,153.04
7/21/2022,155.35
7/22/2022,154.09
7/25/2022,152.95
7/26/2022,151.6
7/27/2022,156.79
7/28/2022,157.35
7/29/2022,162.51
8/1/2022,161.51
8/2/2022,160.01
8/3/2022,166.13
8/4/2022,165.81
8/5/2022,165.35
8/8/2022,164.87
8/9/2022,164.92
8/10/2022,169.24
8/11/2022,168.49
8/12/2022,172.1
8/15/2022,173.19
8/16/2022,173.03
8/17/2022,174.55
8/18/2022,174.15
8/19/2022,171.52
8/22/2022,167.57
8/23/2022,167.23
8/24/2022,167.53
8/25/2022,170.03
8/26/2022,163.62
8/29/2022,161.38
8/30/2022,158.91
8/31/2022,157.22
9/1/2022,157.96
9/2/2022,155.81
9/6/2022,154.53
9/7/2022,155.96
9/8/2022,154.46
9/9/2022,157.37
9/12/2022,163.43
9/13/2022,153.84
9/14/2022,155.31
9/15/2022,152.37
9/16/2022,150.7
9/19/2022,154.48
9/20/2022,156.9
9/21/2022,153.72
9/22/2022,152.74
9/23/2022,150.43
9/26/2022,150.77
9/27/2022,151.76
9/28/2022,149.84
9/29/2022,142.48
9/30/2022,138.2
10/3/2022,142.45
10/4/2022,146.1
10/5/2022,146.4
10/6/2022,145.43
10/7/2022,140.09
10/10/2022,140.42
10/11/2022,138.98
10/12/2022,138.34
10/13/2022,142.99
10/14/2022,138.38
10/17/2022,142.41
10/18/2022,143.75
10/19/2022,143.86
10/20/2022,143.39
10/21/2022,147.27
10/24/2022,149.45
10/25/2022,152.34
10/26/2022,149.35
10/27/2022,144.8
10/28/2022,155.74
10/31/2022,153.34
11/1/2022,150.65
11/2/2022,145.03
11/3/2022,138.88
11/4/2022,138.38
11/7/2022,138.92
11/8/2022,139.5
11/9/2022,134.87
11/10/2022,146.87
11/11/2022,149.7
11/14/2022,148.28
11/15/2022,150.04
11/16/2022,148.79
11/17/2022,150.72
11/18/2022,151.29
11/21/2022,148.01
